facebook/bart-large-cnn,t5-small,google/pegasus-xsum
0.4705984592437744,0.36460185050964355,0.04882907122373581
0.8594918251037598,0.8039803504943848,0.7115580439567566
0.6674811840057373,0.677017092704773,0.7077590823173523
0.8805586695671082,0.9127846360206604,0.8373613357543945
0.7814069986343384,0.7585740089416504,0.6125217080116272
0.7251895666122437,0.8620353937149048,0.7944848537445068
0.7622551321983337,0.8114044666290283,0.8046374917030334
0.7107926607131958,0.795768678188324,0.5442789793014526
0.8969736695289612,0.7049317955970764,0.7379300594329834
0.6930423974990845,0.7302809357643127,0.6203665137290955
0.7244130969047546,0.722951352596283,0.6484726071357727
0.6763907074928284,0.7304860949516296,0.6916417479515076
0.9075890779495239,0.9166901111602783,0.7835078239440918
0.7131187319755554,0.5712801814079285,0.8462060689926147
0.48732811212539673,0.7186976075172424,0.4864448606967926
0.8768746256828308,0.8827266693115234,0.8679934740066528
0.8905474543571472,0.7916156053543091,0.7951353788375854
0.8086841106414795,0.5696092844009399,0.7613908648490906
0.8248773813247681,0.787889838218689,0.48004841804504395
0.470598429441452,0.3646021783351898,0.04882906749844551
0.7774224877357483,0.805633008480072,0.8879711031913757
0.5828664898872375,0.5450503826141357,0.5638645887374878
0.7520232200622559,0.7744863033294678,0.5787540674209595
0.4705982506275177,0.36460208892822266,0.04882904142141342
0.7747107744216919,0.8419608473777771,0.618532121181488
0.797764778137207,0.8542715311050415,0.8004940152168274
0.7279014587402344,0.791915237903595,0.4438849687576294
0.8622868657112122,0.6646296381950378,0.5599402785301208
0.879021942615509,0.6821635961532593,0.6264005303382874
0.470598429441452,0.3646020293235779,0.04882902652025223
0.8846681118011475,0.8453623056411743,0.817705512046814
0.871337354183197,0.864510178565979,0.5316870212554932
0.6084122657775879,0.6309491991996765,0.6018040776252747
0.6873146295547485,0.73921138048172,0.6189815402030945
0.4705984592437744,0.3646019995212555,0.048829030245542526
0.7954859733581543,0.8371992111206055,0.681915283203125
0.8378392457962036,0.8828591108322144,0.8743769526481628
0.7199089527130127,0.5574117302894592,0.6521725654602051
0.8325062394142151,0.748121976852417,0.6845674514770508
0.4705984592437744,0.36460185050964355,0.048829030245542526
0.8687027096748352,0.9087015390396118,0.7788020968437195
0.7500820159912109,0.8249652981758118,0.6398367881774902
0.837336540222168,0.7896844148635864,0.5966907739639282
0.7910550832748413,0.8367618918418884,0.7722082734107971
0.8065378069877625,0.7804190516471863,0.6431344747543335
0.6671789288520813,0.8017743825912476,0.8225536942481995
0.8392928242683411,0.7617230415344238,0.7454808354377747
0.7517076730728149,0.7422547936439514,0.7072718143463135
0.8168724775314331,0.7468045949935913,0.7831697463989258
0.7965555191040039,0.4487515985965729,0.6679091453552246
0.6233477592468262,0.7223599553108215,0.44022366404533386
0.4705982506275177,0.3646019399166107,0.048829082399606705
0.8635972142219543,0.8045117855072021,0.5109192132949829
0.6561158895492554,0.7080032825469971,0.8202921152114868
0.8750433325767517,0.850831151008606,0.8414151668548584
0.8739631772041321,0.8509466648101807,0.6484964489936829
0.4705984592437744,0.3646019399166107,0.04882907122373581
